"","ensembl_gene_id","hgnc_symbol"
"646","ENSG00000142623","PADI1"
"647","ENSG00000142627","EPHA2"
"648","ENSG00000142632","ARHGEF19"
"649","ENSG00000142634","EFHD2"
"650","ENSG00000142655","PEX14"
"651","ENSG00000142657","PGD"
"652","ENSG00000142661","MYOM3"
"653","ENSG00000142669","SH3BGRL3"
"654","ENSG00000142675","CNKSR1"
"655","ENSG00000142676","RPL11"
"656","ENSG00000142677","IL22RA1"
"657","ENSG00000142684","ZNF593"
"658","ENSG00000142686","C1orf216"
"659","ENSG00000142687","KIAA0319L"
"660","ENSG00000142694","EVA1B"
"661","ENSG00000142698","C1orf94"
"662","ENSG00000142700","DMRTA2"
"663","ENSG00000142733","MAP3K6"
"664","ENSG00000142748","FCN3"
"665","ENSG00000142751","GPN2"
"666","ENSG00000142765","SYTL1"
"667","ENSG00000142784","WDTC1"
"668","ENSG00000142789","CELA3A"
"669","ENSG00000142794","NBPF3"
"670","ENSG00000142798","HSPG2"
"671","ENSG00000142856","ITGB3BP"
"672","ENSG00000142864","SERBP1"
"673","ENSG00000142867","BCL10"
"674","ENSG00000142871","CCN1"
"675","ENSG00000142875","PRKACB"
"676","ENSG00000142892","PIGK"
"677","ENSG00000142910","TINAGL1"
"678","ENSG00000142920","AZIN2"
"679","ENSG00000142937","RPS8"
"680","ENSG00000142945","KIF2C"
"681","ENSG00000142949","PTPRF"
"682","ENSG00000142959","BEST4"
"683","ENSG00000142961","MOB3C"
"684","ENSG00000142973","CYP4B1"
"685","ENSG00000143001","TMEM61"
"686","ENSG00000143006","DMRTB1"
"687","ENSG00000143013","LMO4"
"688","ENSG00000143028","SYPL2"
"689","ENSG00000143032","BARHL2"
"690","ENSG00000143033","MTF2"
"691","ENSG00000143036","SLC44A3"
"692","ENSG00000143061","IGSF3"
"693","ENSG00000143067","ZNF697"
"694","ENSG00000143079","CTTNBP2NL"
"695","ENSG00000143093","STRIP1"
"696","ENSG00000143105","KCNA10"
"697","ENSG00000143106","PSMA5"
"698","ENSG00000143107","FNDC7"
"699","ENSG00000143110","C1orf162"
"700","ENSG00000143119","CD53"
"701","ENSG00000143125","PROK1"
"702","ENSG00000143126","CELSR2"
"703","ENSG00000143127","ITGA10"
"704","ENSG00000143147","GPR161"
"705","ENSG00000143149","ALDH9A1"
"706","ENSG00000143153","ATP1B1"
"707","ENSG00000143155","TIPRL"
"708","ENSG00000143156","NME7"
"709","ENSG00000143157","POGK"
"710","ENSG00000143158","MPC2"
"711","ENSG00000143162","CREG1"
"712","ENSG00000143164","DCAF6"
"713","ENSG00000143167","GPA33"
"714","ENSG00000143171","RXRG"
"715","ENSG00000143178","TBX19"
"716","ENSG00000143179","UCK2"
"717","ENSG00000143183","TMCO1"
"718","ENSG00000143184","XCL1"
"719","ENSG00000143185","XCL2"
"720","ENSG00000143190","POU2F1"
"721","ENSG00000143194","MAEL"
"722","ENSG00000143195","ILDR2"
"723","ENSG00000143196","DPT"
"724","ENSG00000143198","MGST3"
"725","ENSG00000143199","ADCY10"
"726","ENSG00000143207","COP1"
"727","ENSG00000143217","NECTIN4"
"728","ENSG00000143222","UFC1"
"729","ENSG00000143224","PPOX"
"730","ENSG00000143226","FCGR2A"
"731","ENSG00000143228","NUF2"
"732","ENSG00000143248","RGS5"
"733","ENSG00000143252","SDHC"
"734","ENSG00000143256","PFDN2"
"735","ENSG00000143257","NR1I3"
